,principal component 1,principal component 2,principal component 3,principal component 4,P. Habitable Class,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,principal component 11,principal component 12,principal component 13,principal component 14,principal component 15,principal component 16,principal component 17,principal component 18,principal component 19,principal component 20,principal component 21,principal component 22
1912,-1.855343552,-1.269219049,-0.071272326,0.483337674,0,0.051673206,-0.04931213,-0.339681335,-0.159849795,0.780758486,-0.329617197,0.251992643,-0.01857021,0.135783907,-0.145289366,0.088042448,-0.076832193,0.135979522,-0.622732038,-0.242307542,-0.306783664,0.04754747,0.014298333
1913,-2.100010341,-1.785010751,0.013430746,0.378313177,0,0.146944035,0.051624794,0.009425364,0.140407937,0.592671215,-0.916889749,0.701608391,0.488718656,-0.023388578,-0.414470918,-0.39294197,0.331753555,0.469152568,-0.590066057,-0.428924807,-0.283985907,0.145728696,0.186399788
1914,-2.161076691,-2.424358108,-0.096947566,0.483184548,0,0.46394233,0.061967919,-0.090842637,0.073709891,0.599369174,-0.878929694,0.69725374,0.470638614,0.100473,-0.394893513,-0.256948701,0.256649317,0.363430305,-0.553095882,-0.461717207,-0.34540714,0.109273328,0.110043991
1915,-2.430930106,-3.097376413,-0.232085229,0.638637801,0,0.912247932,0.123600209,-0.06044235,0.030845256,0.501916366,-0.80153016,0.726002371,0.432701648,0.297720751,-0.378140602,0.023758702,0.057978165,0.240975108,-0.454452921,-0.48232615,-0.416483994,0.012077662,-0.019654844
1916,-2.558675222,-1.015032294,0.000203986,0.746979006,0,0.179395005,0.061294624,0.285939443,0.080431632,0.515365865,-0.075599254,0.035010483,-0.023154856,-0.243983589,-0.506143879,-0.628734144,0.183832362,0.197791613,0.118958461,-0.035071909,0.041738729,0.08052579,-0.022923427
1917,-2.488080056,-1.642794225,-0.110215803,0.818359955,0,0.381668932,0.008083255,0.063900937,-0.011268934,0.626018835,-0.077404015,-0.027978837,-0.019176149,-0.187959649,-0.477271168,-0.647823216,0.217378206,0.112689441,0.12219813,-0.070400575,-0.001563907,0.090132675,-0.046690945
1918,-2.560663654,-2.293706836,-0.230506358,0.930595941,0,0.697611798,0.025611809,-0.029179624,-0.078686571,0.634886702,-0.042461699,-0.020176273,-0.040387157,-0.056454776,-0.463446057,-0.500172061,0.128536149,0.00974406,0.153967956,-0.108329667,-0.071658986,0.051937193,-0.117841465
1919,-2.54842676,-2.201478613,0.000491267,0.720040584,0,0.327268238,-0.023794298,-0.062632136,0.190093015,0.30387325,-0.88836826,-0.0027906,0.197699523,0.350186619,-0.389839763,-0.102340708,0.225852256,0.090248488,0.218282221,-0.374920156,0.04972352,-0.202511499,0.022185919
1920,-2.731703405,-2.882889367,-0.124992465,0.854664027,0,0.738532845,0.015729214,-0.092373514,0.136387067,0.234286391,-0.820739102,-0.00503371,0.170589167,0.517160785,-0.359839492,0.115617692,0.086426138,-0.033299739,0.306624014,-0.397642986,-0.010653572,-0.278015424,-0.092088242
1921,-2.350355144,0.680671779,0.199397677,0.924355829,0,0.208089382,0.158677011,0.947514079,0.475637838,-1.035182659,0.97641956,-1.621484212,0.341429207,-0.298412929,-0.12949394,-1.102814116,0.62865977,-0.279787558,-0.023090273,-0.108081024,-0.227863478,0.225194223,-0.039500833
1922,-2.371718848,-0.287338125,-0.122318848,0.90854036,0,0.212463158,0.038256084,0.250880123,-0.116270705,0.668034162,0.477398137,-0.011546406,0.162091787,-0.35256014,-0.327383455,-0.666396729,-0.140830815,0.089774801,0.05084686,0.129952482,0.127797151,0.079633311,-0.050196608
